Project Number,Project Number Sequence,Plan Series,Capital Plan,Agency Name,Category Description,Element Description,Project Description,Latitude,Longitude,Location Indicator,Location
T8050341,1,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2023 / Myrtle,40.71041,-73.889928,multilocation,"(40.71041, -73.889928)"
D703QM63,1,7,Capital Plan 2015 - 2019,Bridges And Tunnels,TOLL PLAZAS & ATMS,QUEENS MIDTOWN TUNNEL,Implement Open Road Tolling (ORT) /Cashless Tolling on Queens Midtown Tunnel,40.742036,-73.952193,base,"(40.742036, -73.952193)"
T6080631,4,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,"Integrated Service Information & Management B-Division, Module 2",40.7438,-73.924178,multilocation,"(40.7438, -73.924178)"
T7080340,14,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC): Queens Blvd East and Interlockings - Design Only,40.700577,-73.807686,multilocation,"(40.700577, -73.807686)"
T6041226,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Renewal of Seneca Avenue Station on the Myrtle Line,40.702749,-73.907754,base,"(40.702749, -73.907754)"
T8050303,3,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2020 / Brighton,40.577147,-73.963626,multilocation,"(40.577147, -73.963626)"
T6080620,16,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Upgrade Ventilation Systems in 19 Communication Rooms,40.754918,-73.986631,multilocation,"(40.754918, -73.986631)"
T8060524,11,8,Capital Plan 2020 - 2024,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Deep Wells Back-Flushing on the Fulton and Crosstown Lines,40.672574,-73.892245,multilocation,"(40.672574, -73.892245)"
T7120418,7,7,Capital Plan 2015 - 2019,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Automated Fuel Management System Upgrade,40.760488,-74.000432,multilocation,"(40.760488, -74.000432)"
T7041348,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,DISABLED ACCESSIBILITY,ADA Accessibility at 14 Street Station on the Broadway-7 Avenue Line,40.737854,-74.000178,base,"(40.737854, -74.000178)"
L8020423,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,STATIONS,STATIONS AND BUILDINGS,ADA Lindenhurst Station,40.6882432,-73.3692625,base,"(40.6882432, -73.3692625)"
T6080604,29,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Public Address/Customer Info Screen Systems,40.592932,-73.775993,multilocation,"(40.592932, -73.775993)"
T6040704,2,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS/ELEVATORS,Replace 11 Hydraulic Elevators,40.824052,-73.893128,multilocation,"(40.824052, -73.893128)"
L70401C7,5,7,Capital Plan 2015 - 2019,Long Island Rail Road,LINE STRUCTURES,BRIDGES,Atlantic Ave Hatchways,40.681685,-73.8715617,multilocation,"(40.681685, -73.8715617)"
T7080640,147,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.745551,-73.98871,multilocation,"(40.745551, -73.98871)"
T6041313,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,DISABLED ACCESSIBILITY,ADA Accessibility at Dyckman Street Station on the Broadway-7th Avenue Line,40.860561,-73.925502,base,"(40.860561, -73.925502)"
ET060329,6,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMT MITIGATION: SANDY,Mitigation: 14 Fan Plants and Adjacent Tunnels - Design Only,40.706845,-74.003654,multilocation,"(40.706845, -74.003654)"
L8020414,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,STATIONS,STATIONS AND BUILDINGS,ADA St Albans Station,40.6912503,-73.7655489,base,"(40.6912503, -73.7655489)"
T7041344,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,DISABLED ACCESSIBILITY,ADA Accessibility at Mosholu Parkway Station on the Jerome Avenue Line - Design Only,40.879866,-73.884586,base,"(40.879866, -73.884586)"
T6160611,18,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,ENVIRONMENTAL AND SAFETY,Replace Fire Alarm Systems at Various Locations,40.708653,-73.820279,multilocation,"(40.708653, -73.820279)"
T7060502,5,7,Capital Plan 2015 - 2019,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Replace Vent Plant Motor Control System at Various Locations,40.712081,-74.010112,multilocation,"(40.712081, -74.010112)"
ET070303,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE STRUCTURES,LINE STRUCTRE MITIGATION:SANDY,"Mitigation Reserve: Rockaway Line Realignment and Reconstruction, Phase 2",40.601702,-73.813068,base,"(40.601702, -73.813068)"
ET160303,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,MISCELLANEOUS/EMERGENCY,MISCELLANEOUS MITIGATION:SANDY,Mitigation Reserve: Bus Rapid Transit - Staten Island North Shore: Bus Stations,40.633537,-74.166053,multilocation,"(40.633537, -74.166053)"
S6070101,3,6,Capital Plan 2010 - 2014,Staten Island Railway,STATEN ISLAND RAILWAY,SIR: MISCELLANEOUS,Structural Repairs at Eight Staten Island Railway Stations,40.627982,-74.075145,multilocation,"(40.627982, -74.075145)"
T6060306,5,6,Capital Plan 2010 - 2014,New York City Transit,LINE EQUIPMENT,VENTILATION FACILITIES,Replace Fan Plant Motor Control System at 10 Locations - Design Only,40.765456,-73.983806,multilocation,"(40.765456, -73.983806)"
G6100103,1,6,Capital Plan 2010 - 2014,Capital Construction Company,FULL LENGTH SECOND AVE SUBWAY,FULL LENGTH SECOND AVE SUBWAY,SAS: 86th Street Station Excavation and Structure,40.778137,-73.951786,base,"(40.778137, -73.951786)"
ET090227,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,TRACTION POWER,TRACTION POWER REPAIRS: SANDY,Recovery: 12 Circuit Breaker Houses - Design Only,40.646229,-73.994429,multilocation,"(40.646229, -73.994429)"
ET090306,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,TRACTION POWER,TRACTIONPOWER MITIGATION:SANDY,Mitigation: Substation Hardening at 9 Locations - Design Only,40.716672,-73.952051,multilocation,"(40.716672, -73.952051)"
T70412B1,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair Subway Street Stair at 34 Street on the Broadway Line (SBMP),40.749628,-73.987979,base,"(40.749628, -73.987979)"
T7160735,9,7,Capital Plan 2015 - 2019,New York City Transit,MISC./EMERGENCY,EMPLOYEE FACILITIES,Employee Facility Line Repairs at 6 Locations on the 8 Avenue Line - Phase 2,40.811311,-73.952222,multilocation,"(40.811311, -73.952222)"
ET100211,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,SHOPS & YARDS,SHOPS & YARDS REPAIRS: SANDY,Recovery: Power Cable at Coney Island Yard,40.585005,-73.977871,base,"(40.585005, -73.977871)"
D704QM81,1,7,Capital Plan 2015 - 2019,Bridges And Tunnels,UTILITIES,QUEENS MIDTOWN TUNNEL,Rehabilitation of the tunnel controls and communication systems - Queens Midtown Tunnel,40.742036,-73.952193,base,"(40.742036, -73.952193)"
ET040314,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Stairwell Protection (Flexgates),40.71875,-74.000232,multilocation,"(40.71875, -74.000232)"
T7080304,3,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC) on the 8 Avenue Line from 59 Street to High Street,40.723735,-74.004753,multilocation,"(40.723735, -74.004753)"
T6080623,53,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Passenger Station Local Area Network at 68 Stations,40.811311,-73.952222,multilocation,"(40.811311, -73.952222)"
T6160605,7,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,ENVIRONMENTAL AND SAFETY,Fire Sprinkler/Alarm Systems at 11 Employee Facilities,40.751914,-73.99365,multilocation,"(40.751914, -73.99365)"
T6040408,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,FARE COLLECTION,Passenger Station Local Area Network at 20 Stations,40.632877,-73.947685,multilocation,"(40.632877, -73.947685)"
T8050331,1,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2022 / 4 Avenue,40.618652,-74.030079,multilocation,"(40.618652, -74.030079)"
T7080632,32,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 39 Stations (In-House),40.59239,-73.788789,multilocation,"(40.59239, -73.788789)"
T70412I5,4,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Ventilator Repairs at 4 Locations in Brooklyn,40.65501,-74.003693,multilocation,"(40.65501, -74.003693)"
L70701XS,1,7,Capital Plan 2015 - 2019,Long Island Rail Road,POWER,POWER,Substation Renewals,40.694,-73.767,base,"(40.694, -73.767)"
L70401D3,8,7,Capital Plan 2015 - 2019,Long Island Rail Road,LINE STRUCTURES,BRIDGES,Montauk Cut-off Demolition,40.7434444,-73.9437194,multilocation,"(40.7434444, -73.9437194)"
T7080640,88,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.608999,-73.973054,multilocation,"(40.608999, -73.973054)"
T7080640,162,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.749106,-73.937078,multilocation,"(40.749106, -73.937078)"
T8050325,3,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2022 / Jamaica,40.696578,-73.934544,multilocation,"(40.696578, -73.934544)"
T7041265,2,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair Platform Components at 2 Locations on the Brighton Line - Design Only,40.655051,-73.961586,multilocation,"(40.655051, -73.961586)"
T6041304,17,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,DISABLED ACCESSIBILITY,Improve Horizontal and Vertical Platform Clearance at Various Locations,40.713082,-74.004192,multilocation,"(40.713082, -74.004192)"
T8050335,1,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2023 / 6th Ave-Culver,40.733655,-73.999482,multilocation,"(40.733655, -73.999482)"
T5041161,1,5,Capital Plan 2005 - 2009,New York City Transit,PASSENGER STATIONS,STATION REHABILITATION,Rehabilitate Beach 90th Street Station - Rockaway Line,40.587758,-73.814379,base,"(40.587758, -73.814379)"
M7020213,2,7,Capital Plan 2015 - 2019,Metro-North Railroad,STATIONS,OUTLYING STATIONS,Station Improvements Project,40.904681,-73.913556,multilocation,"(40.904681, -73.913556)"
T7040715,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 11 Elevators at 5 Stations - Design Only,40.75034,-73.990837,multilocation,"(40.75034, -73.990837)"
T7080301,12,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control on the Queens Boulevard Line West - Phase 2,40.760007,-73.974894,multilocation,"(40.760007, -73.974894)"
T8050339,4,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2023 / Rockaway,40.68072,-73.842547,multilocation,"(40.68072, -73.842547)"
T7080341,24,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC): Lexington Ave Line and Interlockings - Design Only,40.725807,-73.994717,multilocation,"(40.725807, -73.994717)"
T6080622,27,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 93 Stations,40.785981,-73.968844,multilocation,"(40.785981, -73.968844)"
T7080613,19,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Replacement of Public Address/Customer Information Screens Electronics on the Canarsie Line,40.717308,-73.956873,multilocation,"(40.717308, -73.956873)"
T6120436,2,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Replacement of Oil-Water Separators at 4 Depots,40.632835,-74.128244,multilocation,"(40.632835, -74.128244)"
T6080620,3,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Upgrade Ventilation Systems in 19 Communication Rooms,40.679346,-73.930131,multilocation,"(40.679346, -73.930131)"
T6040408,7,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,FARE COLLECTION,Passenger Station Local Area Network at 20 Stations,40.714391,-73.831109,multilocation,"(40.714391, -73.831109)"
T6090205,5,6,Capital Plan 2010 - 2014,New York City Transit,TRACTION POWER,SUBSTATIONS,Rehabilitate Substation Roofs/Enclosures - Design Only,40.885689,-73.832356,multilocation,"(40.885689, -73.832356)"
G6140102,1,6,Capital Plan 2010 - 2014,Capital Construction Company,REGIONAL INVESTMENTS,REGIONAL INVESTMENTS,Regional Investment to Support ESA: Harold Structures Part 3B: East-Bound Re-Route,40.748102,-73.929899,base,"(40.748102, -73.929899)"
ET040316,3,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Stair Cover/Marine Doors at Subway Station Entrances in Lower Manhattan,40.707336,-74.013898,multilocation,"(40.707336, -74.013898)"
L70204V9,2,7,Capital Plan 2015 - 2019,Long Island Rail Road,STATIONS,STATION AND BUILDINGS,"Enhanced Station Initiatives [ESI]: Phase 2 - 6 Stations:  Great Neck, Bayside, Northport, Valley Stream, Ronkonkoma, and Baldwin.",40.7872262,-73.7262845,multilocation,"(40.7872262, -73.7262845)"
T7080301,7,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control on the Queens Boulevard Line West - Phase 2,40.747882,-73.946231,multilocation,"(40.747882, -73.946231)"
T6041283,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Component Repairs at 2 Stations on the 4th Avenue Line,40.641255,-74.01801,multilocation,"(40.641255, -74.01801)"
T8060527,2,8,Capital Plan 2020 - 2024,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Sandy Mitigation: 4 Pump Rooms (Jerome-Pelham Tube),40.807553,-73.935088,multilocation,"(40.807553, -73.935088)"
T7100408,1,7,Capital Plan 2015 - 2019,New York City Transit,SHOPS AND YARDS,SHOPS AND YARDS,Upgrade Atlantic Avenue Cable Shop - Phase 1 - Design Only,40.678964,-73.956419,base,"(40.678964, -73.956419)"
T7041242,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair of Elevated Street Stairs at 2 Locations on the White Plains Road Line (SBMP) - Design Only,40.837337,-73.887722,multilocation,"(40.837337, -73.887722)"
T8041275,1,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Painting: Myrtle-Wyckoff Complex on the Canarsie and Myrtle Lines,40.699438,-73.91233,base,"(40.699438, -73.91233)"
T7080332,6,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC) from Church Avenue to West 8 Street on the Culver Line,40.636306,-73.978179,multilocation,"(40.636306, -73.978179)"
T6080610,4,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Private Branch Exchange (PBX) System Upgrades - Design Only,40.690422,-73.988864,multilocation,"(40.690422, -73.988864)"
T8050317,2,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2021 / Pelham,40.842973,-73.837693,multilocation,"(40.842973, -73.837693)"
T60412G2,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair of 2 Street Stairs at 23rd Street Station on the Eighth Avenue Line (SBMP),40.746096,-73.997833,base,"(40.746096, -73.997833)"
D807RKPT,1,8,Capital Plan 2020 - 2024,Bridges And Tunnels,STRUCTURAL PAINTING,ROBERT F. KENNEDY BRIDGE,Miscellaneous Painting at the Robert F Kennedy Bridge,40.7984152,-73.9232033,base,"(40.7984152, -73.9232033)"
T7160728,1,7,Capital Plan 2015 - 2019,New York City Transit,MISC./EMERGENCY,EMPLOYEE FACILITIES,Electronics Maintenance Division (EMD) Facility at Hoyt-Schermerhorn Station on the Fulton Line - Design Only,40.688622,-73.985111,base,"(40.688622, -73.985111)"
M7020215,2,7,Capital Plan 2015 - 2019,Metro-North Railroad,STATIONS,OUTLYING STATIONS,Beacon & Southeast Improvements,41.412985,-73.623057,multilocation,"(41.412985, -73.623057)"
T7080640,241,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.723347,-73.989975,multilocation,"(40.723347, -73.989975)"
G8130199,1,8,Capital Plan 2020 - 2024,Capital Construction Company,LIRR EXPANSION PROJECT,LIRR EXPANSION PROJECT,LIRR Expansion Project: Program Reserve,40.7493,-73.6407,base,"(40.7493, -73.6407)"
L60501L6,2,6,Capital Plan 2010 - 2014,Long Island Rail Road,COMMUNICATIONS AND SIGNALS,COMMUNICATIONS IMPROVEMENTS,Penn Station Radio Retrofit and East River Tunnel Antenna replacement,40.7421871,-73.9656846,multilocation,"(40.7421871, -73.9656846)"
T6120412,2,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Parking Lot Development at Jamaica and Grand Avenue Depots,40.700696,-73.790425,multilocation,"(40.700696, -73.790425)"
T7080343,6,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Mainline Switch Replacement on the CBTC Culver Line,40.588331,-73.97439,multilocation,"(40.588331, -73.97439)"
G7090141,1,7,Capital Plan 2015 - 2019,Capital Construction Company,EAST SIDE ACCESS,EAST SIDE ACCESS,ESA; A Tunnel/D Approach Structure,40.750667,-73.934639,base,"(40.750667, -73.934639)"
T6080649,7,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations,40.762621,-73.967911,multilocation,"(40.762621, -73.967911)"
T6080622,36,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 93 Stations,40.77553,-73.976462,multilocation,"(40.77553, -73.976462)"
T7070316,2,7,Capital Plan 2015 - 2019,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Overcoat Painting and Steel Repair at Broadway to End of Line on the Myrtle Line,40.708966,-73.890757,multilocation,"(40.708966, -73.890757)"
T6070334,2,6,Capital Plan 2010 - 2014,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Overcoat Painting and Steel Repair at 17 Bridges on the Dyre Avenue Line and Flyover at East 180th Street Yard - Design Only,40.872767,-73.843592,multilocation,"(40.872767, -73.843592)"
ET060318,8,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMT MITIGATION: SANDY,Mitigation: Pumping System Improvements - Design Only,40.700713,-73.99585,multilocation,"(40.700713, -73.99585)"
ET050218,13,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,TRACK,TRACK/SWITCH REPAIRS: SANDY,Recovery: Mainline Switches (200th to 207th Street / 8th Avenue),40.866254,-73.925164,multilocation,"(40.866254, -73.925164)"
T8060526,1,8,Capital Plan 2020 - 2024,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Sandy Mitigation: Pump Room Enhancements,40.790062,-73.947854,multilocation,"(40.790062, -73.947854)"
T8090404,2,8,Capital Plan 2020 - 2024,New York City Transit,TRACTION POWER,POWER DISTRIBUTION,Rehabilitation of 11 CBHs and 1 Enclosure - Design Only,40.700298,-73.830018,multilocation,"(40.700298, -73.830018)"
T7080640,56,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.679382,-73.858973,multilocation,"(40.679382, -73.858973)"
D801RK19,1,8,Capital Plan 2020 - 2024,Bridges And Tunnels,STRUCTURES,ROBERT F. KENNEDY BRIDGE,Structural Retrofits and Overcoat Painting of the Suspension Span at the Robert F. Kennedy Bridge,40.782176,-73.9284817,base,"(40.782176, -73.9284817)"
T6080625,1,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Waterproofing of Communication Rooms at 2 Locations,40.682914,-73.910449,multilocation,"(40.682914, -73.910449)"
T8060506,1,8,Capital Plan 2020 - 2024,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Rehab Fan Plant Damper Systems - 7 Locations,40.75209,-73.927833,multilocation,"(40.75209, -73.927833)"
S7070105,1,7,Capital Plan 2015 - 2019,Staten Island Railway,STATEN ISLAND RAILWAY,SIR: MISCELLANEOUS,Construction of New Power Substation: Tottenville,40.5141667,-74.2491667,base,"(40.5141667, -74.2491667)"
T6080604,5,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Public Address/Customer Info Screen Systems,40.616626,-73.983904,multilocation,"(40.616626, -73.983904)"
T6041241,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Renewal of Bay Parkway Station on the Culver Line,40.62085,-73.975236,base,"(40.62085, -73.975236)"
ET100307,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,SHOPS & YARDS,SHOPS&YARDS MITIGATION: SANDY,Mitigation: Long Term Perimeter Protection at Coney Island Yard,40.585005,-73.977871,base,"(40.585005, -73.977871)"
T6080623,62,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Passenger Station Local Area Network at 68 Stations,40.742908,-73.992782,multilocation,"(40.742908, -73.992782)"
G6090138,1,6,Capital Plan 2010 - 2014,Capital Construction Company,EAST SIDE ACCESS,EAST SIDE ACCESS,ESA: Force Account Warehouse,40.75332,-73.976998,base,"(40.75332, -73.976998)"
ET060320,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMT MITIGATION: SANDY,Mitigation: 11 Fan Plants,40.703805,-74.008519,multilocation,"(40.703805, -74.008519)"
T6120440,1,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Replacement of Vertical Platform Lift at East New York (SBMP),40.678122,-73.899624,base,"(40.678122, -73.899624)"
T5119901,8,5,Capital Plan 2005 - 2009,New York City Transit,YARDS,ARRA YARDS PROJECTS,Yard Fencing Priority 1: 8 Locations,40.584566,-73.977495,multilocation,"(40.584566, -73.977495)"
T8070342,1,8,Capital Plan 2020 - 2024,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Demolition of Abandoned Structures on the Jamaica Line,40.69335,-73.852962,base,"(40.69335, -73.852962)"
T6080631,9,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,"Integrated Service Information & Management B-Division, Module 2",40.746826,-73.945348,multilocation,"(40.746826, -73.945348)"
T7080632,21,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 39 Stations (In-House),40.625011,-73.960818,multilocation,"(40.625011, -73.960818)"
T70412G1,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair Subway Street Stair at Sterling Street on the Nostrand Line (SBMP),40.663134,-73.950894,base,"(40.663134, -73.950894)"
T7080611,22,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 28 Stations (In-House),40.86289,-73.901025,multilocation,"(40.86289, -73.901025)"
ET070313,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE STRUCTURES,LINE STRUCTRE MITIGATION:SANDY,Mitigation: Compressor Room Protection at Rockaway Park Yard,40.582883,-73.828302,base,"(40.582883, -73.828302)"
ET160314,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,MISCELLANEOUS/EMERGENCY,MISCELLANEOUS MITIGATION:SANDY,Mitigation: Zerega Maintenance Facility (SBFP),40.822941,-73.841575,base,"(40.822941, -73.841575)"
T7080341,19,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC): Lexington Ave Line and Interlockings - Design Only,40.69283,-73.992971,multilocation,"(40.69283, -73.992971)"
T6041210,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Renewal of Castle Hill Avenue Station on the Pelham Line,40.834225,-73.851352,base,"(40.834225, -73.851352)"
T8080313,1,8,Capital Plan 2020 - 2024,New York City Transit,SIGNALS & COMMUNICATION,SIGNAL MODERNIZATION,CBTC: Flushing Line Equipment Removals,40.74681,-73.935214,multilocation,"(40.74681, -73.935214)"
T7041286,3,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Lighting at 3 Locations on Various Lines (SBMP) - Design Only,40.762421,-73.985994,multilocation,"(40.762421, -73.985994)"
L8070107,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,POWER,POWER,Jamaica Substation,40.698376,-73.8170114,base,"(40.698376, -73.8170114)"
T7041251,3,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair of Platform Components at 5 Locations on the Canarsie Line,40.706368,-73.931883,multilocation,"(40.706368, -73.931883)"
T7041257,4,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair of Street Stairs at 9 Locations (SBMP) - Design Only,40.720246,-73.993799,multilocation,"(40.720246, -73.993799)"
T8060519,10,8,Capital Plan 2020 - 2024,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Fiber Optic Cable on the 8 Avenue Line,40.717028,-74.006282,multilocation,"(40.717028, -74.006282)"
T6080662,32,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Upgrade Access Nodes at 60 Stations,40.67543,-73.90308,multilocation,"(40.67543, -73.90308)"
